Activity Year,Respondent ID,Agency Code,Parent Respondent ID,Parent Name (Panel),Parent City (Panel),Parent State (Panel),Region,Assets,Other Lender Code,Respondent Name (Panel),Respondent City (Panel),Respondent State (Panel),Top Holder RSSD ID,Top Holder Name,Top Holder City,Top Holder State,Top Holder Country,Respondent RSSD ID,Parent RSSD ID,Respondent FIPS State Number
2015,0000004049,3,          ,                              ,                         ,  ,13,0000155255,0,FIRST ENT BK                                                          ,OKLAHOMA CITY            ,OK                    ,0000000000,                              ,                         ,  ,                                        ,0000315656,0000000000,40
2015,0000004160,3,          ,                              ,                         ,  ,13,0000209992,0,REGENT BK                                                             ,NOWATA                   ,OK                    ,0003632000,REGENT CAP CORP               ,NOWATA                   ,OK,UNITED STATES                           ,0000309655,0000000000,40
2015,0000004187,3,          ,                              ,                         ,  ,13,0000198002,0,MCCLAIN BK                                                            ,PURCELL                  ,OK                    ,0001060485,MCCLAIN CTY BC                ,PURCELL                  ,OK,UNITED STATES                           ,0000648251,0000000000,40
2015,0000004219,3,          ,                              ,                         ,  ,13,0000274115,0,FIRST B&TC                                                            ,WAGONER                  ,OK                    ,0001050851,FIRST WAGONER CORP            ,WAGONER                  ,OK,UNITED STATES                           ,0000351850,0000000000,40
2015,0000004235,3,          ,                              ,                         ,  ,13,0000188969,0,YNB                                                                   ,YUKON                    ,OK                    ,0001062975,INTERNATIONAL BSHRS OF OK     ,YUKON                    ,OK,UNITED STATES                           ,0000953852,0000000000,40
2015,0000004239,3,          ,                              ,                         ,  ,13,0002545267,0,FIRST UNITED B&TC                                                     ,DURANT                   ,OK                    ,0001058398,DURANT BC                     ,DURANT                   ,OK,UNITED STATES                           ,0000509950,0000000000,40
2015,0000004398,3,          ,                              ,                         ,  ,09,0000106636,0,LNB COMMUNITY BANK                                                    ,LYNNVILLE                ,IN                    ,0002807007,LNB CMNTY BANCORP             ,LYNNVILLE                ,IN,UNITED STATES                           ,0000176642,0000000000,18
2015,0000004526,3,          ,                              ,                         ,  ,11,0000143273,0,PONY EXPRESS BK                                                       ,BRAYMER                  ,MO                    ,0003201086,PAGE BSHRS                    ,LIBERTY                  ,MO,UNITED STATES                           ,0000953843,0000000000,29
2015,0000004533,3,          ,                              ,                         ,  ,11,0000947050,0,CITIZENS B&TC                                                         ,CHILLICOTHE              ,MO                    ,0003299195,YOUNG CORP                    ,CHILLICOTHE              ,MO,UNITED STATES                           ,0000381343,0000000000,29
2015,0000004626,3,          ,                              ,                         ,  ,11,0000087365,0,BANK OF THE PRAIRIE                                                   ,OLATHE                   ,KS                    ,0001058624,PRAIRIE STAR BSHRS            ,OLATHE                   ,KS,UNITED STATES                           ,0001007659,0000000000,20
2015,0000004664,3,          ,                              ,                         ,  ,11,0000090310,0,HOME B&TC                                                             ,EUREKA                   ,KS                    ,0001141722,GREENWOOD CTY FS              ,EUREKA                   ,KS,UNITED STATES                           ,0000840251,0000000000,20
2015,0000004675,3,          ,                              ,                         ,  ,11,0000083000,0,MERIT BK                                                              ,OVERLAND PARK            ,KS                    ,0003488289,COMMUNITY BSHRS OF KS         ,OVERLAND PARK            ,KS,UNITED STATES                           ,0000667850,0000000000,20
2015,0000004705,3,          ,                              ,                         ,  ,11,0000828519,0,SECURITY BK OF KANSAS CITY                                            ,KANSAS CITY              ,KS                    ,0001050712,VALLEY VIEW BSHRS             ,OVERLAND PARK            ,KS,UNITED STATES                           ,0001009354,0000000000,20
2015,0000004738,3,          ,                              ,                         ,  ,11,0000169614,0,FIRST BK OF NEWTON                                                    ,NEWTON                   ,KS                    ,0001050776,FIRST NEWTON BSHRS            ,TOPEKA                   ,KS,UNITED STATES                           ,0000332055,0000000000,20
2015,0000004752,3,          ,                              ,                         ,  ,11,0000054019,0,FIRST SECURITY BK                                                     ,OVERBROOK                ,KS                    ,0001063776,OVERBROOK BSHRS               ,OVERBROOK                ,KS,UNITED STATES                           ,0000460350,0000000000,20
2015,0000004789,3,          ,                              ,                         ,  ,11,0001508881,0,EMPRISE BK                                                            ,WICHITA                  ,KS                    ,0001135824,EMPRISE FC                    ,WICHITA                  ,KS,UNITED STATES                           ,0000065858,0000000000,20
2015,0000004796,3,          ,                              ,                         ,  ,11,0000057120,0,BANK OF CMRC & TC                                                     ,WELLINGTON               ,KS                    ,0004419301,TRI-COUNTY FC                 ,WELLINGTON               ,KS,UNITED STATES                           ,0000431350,0000000000,20
2015,0000004857,3,          ,                              ,                         ,  ,02,0001324319,0,FIRST UNITED B&TC                                                     ,OAKLAND                  ,MD                    ,0001132672,FIRST UNITED CORP             ,OAKLAND                  ,MD,UNITED STATES                           ,0000061122,0000000000,24
2015,0000004931,3,          ,                              ,                         ,  ,13,0000411989,0,MOUNTAIN CMRC BK                                                      ,ERWIN                    ,TN                    ,0003416965,MOUNTAIN CMRC BC              ,KNOXVILLE                ,TN,UNITED STATES                           ,0001016231,0000000000,47
2015,0000004945,3,          ,                              ,                         ,  ,13,0000143665,0,PEOPLES BK OF SOUTH                                                   ,LAFOLLETTE               ,TN                    ,0000000000,                              ,                         ,  ,                                        ,0000277736,0000000000,47
2015,0000004960,3,          ,                              ,                         ,  ,13,0000109067,0,FIRST FARMERS & CMRL BK                                               ,PIKEVILLE                ,TN                    ,0001082834,FIRST PIKEVILLE BSHRS         ,PIKEVILLE                ,TN,UNITED STATES                           ,0000702836,0000000000,47
2015,0000005019,3,          ,                              ,                         ,  ,09,0000542233,0,SOUTHERN MI B&TC                                                      ,COLDWATER                ,MI                    ,0001207824,SOUTHERN MI BC                ,COLDWATER                ,MI,UNITED STATES                           ,0000822042,0000000000,26
2015,0000005033,3,          ,                              ,                         ,  ,09,0000290341,0,DART BK                                                               ,MASON                    ,MI                    ,0003726196,DART FC                       ,MASON                    ,MI,UNITED STATES                           ,0000047247,0000000000,26
2015,0000005095,3,          ,                              ,                         ,  ,11,0000230917,0,STAR BK                                                               ,MAPLE LAKE               ,MN                    ,0001827718,MIDWEST BC                    ,EDEN PRAIRIE             ,MN,UNITED STATES                           ,0000715050,0000000000,27
2015,0000005116,3,          ,                              ,                         ,  ,11,0000103983,0,GRANITE CMNTY BK                                                      ,COLD SPRING              ,MN                    ,0001247969,FIRST BSHRS OF COLD SPRING    ,COLD SPRING              ,MN,UNITED STATES                           ,0000311256,0000000000,27
2015,0000005151,3,          ,                              ,                         ,  ,11,0000403671,0,FIRST MN BK                                                           ,MINNETONKA               ,MN                    ,0001127324,MCLEOD BSHRS                  ,SHOREWOOD                ,MN,UNITED STATES                           ,0000075053,0000000000,27
2015,0000005216,3,          ,                              ,                         ,  ,11,0000550685,0,AMERICAN BK NORTH                                                     ,NASHWAUK                 ,MN                    ,0002217503,MESABA BSHRS                  ,GRAND RAPIDS             ,MN,UNITED STATES                           ,0000716655,0000000000,27
2015,0000005229,3,          ,                              ,                         ,  ,11,0000177907,0,FORESIGHT BK                                                          ,PLAINVIEW                ,MN                    ,0001485800,PLAINVIEW BSHRS               ,PLAINVIEW                ,MN,UNITED STATES                           ,0000755458,0000000000,27
2015,0000005271,3,          ,                              ,                         ,  ,11,0000295254,0,ROUNDBANK                                                             ,WASECA                   ,MN                    ,0001142989,WASECA BSHRS                  ,WASECA                   ,MN,UNITED STATES                           ,0000836852,0000000000,27
2015,0000005394,3,          ,                              ,                         ,  ,11,0000268719,0,FIRST B&TC                                                            ,COZAD                    ,NE                    ,0001053320,MIDWEST BANCO CORP            ,COZAD                    ,NE,UNITED STATES                           ,0000244158,0000000000,31
2015,0000005396,3,          ,                              ,                         ,  ,11,0000166422,0,CITY B&TC                                                             ,LINCOLN                  ,NE                    ,0001141553,TCM CO                        ,CRETE                    ,NE,UNITED STATES                           ,0000079855,0000000000,31
2015,0000005415,3,          ,                              ,                         ,  ,11,0000891075,0,SECURITY FIRST BK                                                     ,LINCOLN                  ,NE                    ,0003796902,STOCKMENS LP                  ,RAPID CITY               ,SD,UNITED STATES                           ,0000276850,0000000000,31
2015,0000005469,3,          ,                              ,                         ,  ,11,0000153475,0,CITIZENS B&TC                                                         ,SAINT PAUL               ,NE                    ,0001051401,HOWARD CTY LAND & CATTLE CO   ,RAPID CITY               ,SD,UNITED STATES                           ,0000925055,0000000000,31
2015,0000005568,3,          ,                              ,                         ,  ,13,0000430598,0,HERRING BK                                                            ,AMARILLO                 ,TX                    ,0001109496,HERRING BC                    ,AMARILLO                 ,TX,UNITED STATES                           ,0000610164,0000000000,48
2015,0000005602,3,          ,                              ,                         ,  ,05,0000233616,0,UNION ST BK                                                           ,PELL CITY                ,AL                    ,0001085358,UNION BSHRS                   ,PELL CITY                ,AL,UNITED STATES                           ,0000467733,0000000000,01
2015,0000005615,3,          ,                              ,                         ,  ,13,0000682247,0,CHAMBERS BK                                                           ,DANVILLE                 ,AR                    ,0001141487,CHAMBERS BSHRS                ,DANVILLE                 ,AR,UNITED STATES                           ,0000517049,0000000000,05
2015,0000005629,3,          ,                              ,                         ,  ,13,0000073524,0,HOMEBANK OF AR                                                        ,PORTLAND                 ,AR                    ,0003029196,PEOPLES HOME HOLDING          ,GREENBRIER               ,AR,UNITED STATES                           ,0000596642,0000000000,05
2015,0000005633,3,          ,                              ,                         ,  ,13,0004626323,0,FIRST SECURITY BK                                                     ,SEARCY                   ,AR                    ,0001096505,FIRST SECURITY BANCORP        ,SEARCY                   ,AR,UNITED STATES                           ,0000673440,0000000000,05
2015,0000005636,3,          ,                              ,                         ,  ,13,0000117810,0,BANK OF GRAVETT                                                       ,GRAVETTE                 ,AR                    ,0003143953,GRAVETT BSHRS                 ,GRAVETTE                 ,AR,UNITED STATES                           ,0000400945,0000000000,05
2015,0000005673,3,          ,                              ,                         ,  ,05,0000436190,0,CITIZENS B&TC                                                         ,FROSTPROOF               ,FL                    ,0003200874,CITIZENS BKG CORP             ,FROSTPROOF               ,FL,UNITED STATES                           ,0000701839,0000000000,12
2015,0000005676,3,          ,                              ,                         ,  ,05,0000424939,0,BRANNEN BK                                                            ,INVERNESS                ,FL                    ,0001082375,BRANNEN BK OF FL              ,INVERNESS                ,FL,UNITED STATES                           ,0000760331,0000000000,12
2015,0000005685,3,          ,                              ,                         ,  ,05,0000389765,0,SOUTHEASTERN BK                                                       ,DARIEN                   ,GA                    ,0001082058,SOUTHEASTERN BKG CORP         ,DARIEN                   ,GA,UNITED STATES                           ,0000210238,0000000000,13
2015,0000005694,3,          ,                              ,                         ,  ,05,0000326172,0,PRIMESOUTH BK                                                         ,BLACKSHEAR               ,GA                    ,0002135812,JONES BSHRS                   ,WAYCROSS                 ,GA,UNITED STATES                           ,0001011638,0000000000,13
2015,0000005716,3,          ,                              ,                         ,  ,05,0000550847,0,FARMERS & MRCH BK                                                     ,LAKELAND                 ,GA                    ,0001086814,FMB BSHRS                     ,LAKELAND                 ,GA,UNITED STATES                           ,0000763930,0000000000,13
2015,0000005722,3,          ,                              ,                         ,  ,09,0000086931,0,PHILO EXCHANGE BK                                                     ,PHILO                    ,IL                    ,0002948919,YANKEE RIDGE                  ,ALLERTON                 ,IL,UNITED STATES                           ,0000667346,0000000000,17
2015,0000005730,3,          ,                              ,                         ,  ,09,0000059350,0,STATE BK OF ST JACOB                                                  ,SAINT JACOB              ,IL                    ,0003957552,ST JACOB BSHRS                ,SAINT JACOB              ,IL,UNITED STATES                           ,0000362940,0000000000,17
2015,0000005749,3,          ,                              ,                         ,  ,09,0000211461,0,GERMAN AMER ST BK                                                     ,GERMAN VALLEY            ,IL                    ,0001137453,FORESIGHT FNCL GRP            ,ROCKFORD                 ,IL,UNITED STATES                           ,0000556936,0000000000,17
2015,0000005754,3,          ,                              ,                         ,  ,09,0000217420,0,FIRST T&SB ALBANY                                                     ,ALBANY                   ,IL                    ,0001125487,ALBANY BSHRS                  ,ALBANY                   ,IL,UNITED STATES                           ,0000583138,0000000000,17
